#OTU ID	SRR7635466	SRR7635478	SRR7635493	SRR7635553	SRR7635581	SRR7635596	SRR7635605	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635942	SRR7635964	SRR7635994	SRR7636010	SRR7636016	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636174	SRR7636204	SRR7636214	SRR7636246	SRR7636267	SRR7636291	SRR7636307	SRR7636333	SRR7636348	SRR7636363	SRR7636367	SRR7636374	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636519	SRR7636527	SRR7636560	SRR7636587	SRR7636588	SRR7636592	SRR7636597	SRR7636655	SRR7636675	SRR7636686	SRR7636690	SRR7636693	SRR7636729	SRR7636737	SRR7636763	SRR7636777	SRR7636786	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636861	SRR7636869	SRR7636890	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636955	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637029	SRR7637034
ASV_27	   0	   3	  56	   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	   0	   0	   0	   0	 311	  62	   0	   0	   0	   0	   3	   0	   0	   0	   0	 784	   0	   0	   0	   0	  17	   0	   0	   0	   4	   0	   0	2088	  59	   3	  80	   0	 658	 525	 763	   0	   0	   0	 397	   6	  10	  12	   0	 379	1527	   0	   0	   0	 425	2214	  25	   0	  13	   0	  26	2685	  12	   0	 266	   0	1439	   0	   0	   0	   0	  41	  45	 270	  45	 494	   3	   0	 690	  19	   0	  84	2670	   8	   0	  14	  38	 324	   0	  65	 229	   5
ASV_28	   0	   0	 409	  80	   0	   0	   0	   5	   0	 629	  16	   3	   0	   0	   0	  46	   0	 140	 284	   0	   8	   4	   0	  71	   0	   0	   0	   0	 388	   0	   0	3097	 259	 622	   0	   0	   0	  11	1031	   0	  20	  36	 301	 266	   0	  23	 205	 670	 107	   0	  26	 762	 644	  68	 635	  53	  22	 328	 235	   0	 163	 364	  79	1016	   0	  25	 104	 161	 248	  59	   0	 251	  76	   0	  83	 185	 367	  18	 227	   0	  13	  93	1071	   5	   0	 693	 120	   0	 101	 515	 482	   0	 185	  35	 243	  35	  29	 184	 162
ASV_29	   0	   0	   0	   0	   0	   0	   0	  63	   0	   0	   0	   0	   3	   0	  22	   0	   0	   0	  60	   0	   0	   0	   0	  13	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	3242	   0	   0	   0	   0	   0	   0	9555	   0	   0	   0	   0	   0	 265	   0	  18	 100	  37	   0	   0	   0	2226	   0	   0	   0	   0	   0	  49	2273	 206	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  48	   0	   0	   0	   0	   0	   0	   0	   0	 122	   0	   0	   0	   0	  44	   0	   0	  35	  80
ASV_30	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 189	   0	 651	 473	   0	   0	   0	   0	   0	   0	   0	   0	   5	   0	   0	   0	   0	   0	   0	   0	   0	  47	  13	   0	   0	   0	   0	   0	   0	   0	   0	   0	1158	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 133	   0	   0	   0	   0	   0	   0	   0	 427	   0	   0	   0	   0	   0	5924	   0	  54	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1554	   0	6277	 461	   4	   0	   0	   0	   0
ASV_31	   0	   0	 277	   0	   0	 129	   0	 308	   3	 125	   0	   0	 171	   0	 992	   0	   0	   0	 152	  12	  81	   0	   0	  93	 221	   0	   0	  13	 112	  33	   0	 329	   0	  79	   0	   0	 480	 944	  36	   0	   0	   0	   0	  45	 263	   0	   0	   0	   0	 106	3218	2326	  67	   0	   0	   0	   0	   3	   0	 112	   0	 882	  34	   0	   0	   0	   0	   0	   0	   0	   0	 752	   0	 232	   0	   0	 507	   0	   0	  48	  86	  17	  21	   0	   0	1250	 354	1485	  10	   0	 323	   0	 170	   0	   0	   0	 377	  12	   0
ASV_32	   0	 119	 636	   0	   0	   0	   0	   0	   0	   0	   0	   0	  31	   0	   0	 108	   0	  15	 495	   0	   3	   0	   0	  37	   0	   0	   0	   0	1039	   0	   2	   0	   0	 230	   0	   0	   0	   0	   0	   0	 856	   0	   0	   0	   0	   0	   0	2769	   0	   0	   0	 902	 391	 522	 791	  91	 360	 158	   0	   0	   0	1508	   0	   0	   0	  10	   0	 114	2239	 341	   0	   0	   0	   0	   0	 156	   0	   0	  49	   0	  84	   0	 230	   0	   0	 125	 179	   0	   0	 346	   0	   0	   0	   0	 786	   0	   0	 134	1104
ASV_33	   0	   0	   4	1127	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 384	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 182	   0	   0	   0	   0	   0	   0	   0	   0	   0	8245	   0	   0	   0	   0	   8	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 106	 827	1722	   0	   0	   0	  36	 155	   0	   0	  27	1254	   0	2145	   0	  47	   0	   0	   0	   0	  22	   0	   3	   0	   0	   0	   0	   0
ASV_34	   0	  32	 124	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  89	   8	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	   0	   0	   3	   0	   0	   0	   0	   0	   0	  15	  13	2881	  10	   0	 306	   0	5831	   0	  86	   0	   4	   4	   0	   0	   0	   0	1329	   0	   0	   2	  30	 417	2527	   0	  14	   0	 151	   0	  27	   0	 403	   0	   0	   0	   0	   0	  72	  14	   0	   0	   0	   0	   0	   0	  99	   0	  58	   0	   0	   0	 915	 366	   0	 424	   0	   3	  30	   0
ASV_35	   0	  39	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 848	 373	   0	   0	   2	   2	   0	   0	   0	   0	   0	 434	   0	  11	   0	   0	   0	   0	   0	   0	   0	   0	   3	  61	  29	 866	  19	  11	  84	 129	4056	   0	 119	   0	  94	   0	   0	   3	   0	  67	 830	   0	   0	  23	   2	 577	  46	   0	  52	   3	 288	 342	  19	   0	   8	  29	 168	   0	   0	   0	 120	  14	  11	 552	 136	   0	   0	  25	 450	   0	3469	  32	 488	   0	   0	   9	  68	 183	   0	  45	 101	   3
ASV_36	   0	   0	 897	   0	   0	   0	   0	  98	   0	 275	   0	   0	   6	   0	1327	   0	   0	  53	 169	   0	   5	   0	   0	  18	   0	   0	   0	   0	1072	   0	   0	1318	1043	 500	   0	   0	   4	   2	 197	   0	  13	  18	 150	   0	   0	  14	   0	 104	   0	   0	  25	 292	 538	 247	 108	   0	 104	  44	 103	   0	   0	  50	   0	2080	   0	   0	  16	  44	 498	  42	   0	 769	  31	   0	   0	   3	   7	  15	 123	   0	  43	 135	 213	   0	   0	 952	   0	   0	   0	   0	  71	   0	 370	  15	  14	   0	   0	 143	  23
