#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_207	0	0	0	0	69	0	35	0	0	0	0	0	0	0	0	0	0	0	0
OTU_208	0	0	0	0	11	0	228	0	57	0	0	0	10	0	0	0	0	0	0
OTU_209	0	0	0	0	65	0	29	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21	0	0	0	271	0	0	0	0	5996	702	567	0	0	0	0	56	0	0	0
OTU_210	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
OTU_211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0
OTU_212	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
OTU_213	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
OTU_214	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
OTU_215	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
OTU_216	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
OTU_217	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_218	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_219	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22	0	0	0	0	0	0	15	0	11290	2130	296	0	1451	0	0	816	120	543	0
OTU_220	75	53	0	0	0	0	75	0	6	0	0	0	0	0	0	0	0	0	0
OTU_221	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_222	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_223	0	0	0	0	0	0	52	0	17	0	0	0	0	0	0	0	0	0	0
OTU_224	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_225	0	0	0	0	51	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU_226	0	0	0	0	4	0	51	0	0	0	0	0	0	0	0	0	0	0	0
OTU_227	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_228	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
OTU_229	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	6445	0	0	0	0	0	0	0	0	0	670	1378	0	0	0	0	0	127	68
OTU_230	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0
OTU_231	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
OTU_232	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_233	0	0	0	0	38	0	136	0	6	0	0	0	0	0	0	0	0	0	0
OTU_234	0	0	0	0	0	0	82	0	0	34	0	0	0	0	0	0	0	0	0
OTU_235	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
OTU_236	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_237	0	13	0	0	43	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU_238	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0
OTU_239	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
OTU_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5451	0
OTU_240	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0
OTU_241	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
OTU_242	0	0	0	0	6	0	0	0	41	0	0	0	0	0	0	0	0	0	0
OTU_243	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
OTU_244	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
OTU_245	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
OTU_246	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
OTU_247	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	17	38	21	0
OTU_248	0	0	0	0	26	0	65	0	0	0	0	0	0	0	0	0	0	0	0
OTU_249	0	7	0	0	0	0	0	0	0	0	35	0	19	0	0	11	0	9	0
OTU_25	0	0	0	11	85	0	0	0	0	0	0	0	0	0	0	0	0	0	7092
OTU_250	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	35
OTU_251	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_252	0	0	0	0	0	0	80	0	26	21	0	0	0	0	0	0	0	0	0
OTU_253	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_254	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
OTU_255	31	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
OTU_256	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_257	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
OTU_258	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_259	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
OTU_26	0	0	0	0	0	0	0	0	4405	0	0	0	0	0	0	0	0	0	0
OTU_260	0	0	0	0	24	0	0	0	0	0	30	0	0	0	0	0	0	0	0
OTU_261	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
OTU_262	0	0	0	0	46	0	0	0	0	0	0	9	0	0	0	0	0	0	0
OTU_263	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
OTU_264	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_265	0	4	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
OTU_266	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
OTU_267	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_268	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
OTU_269	0	4	0	0	11	0	0	0	0	0	0	0	0	0	4	25	0	0	0
OTU_27	0	0	0	0	0	0	0	0	178	7889	0	0	0	0	0	0	0	0	0
