Feature ID	p;c;o;f;g;s
ASV_1276	d__Bacteria
ASV_1277	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buchnera;s__Buchnera aphidicola_AB
ASV_1278	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1279	d__Bacteria
ASV_128	d__Bacteria
ASV_1280	d__Bacteria
ASV_1281	d__Bacteria
ASV_1282	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1283	d__Bacteria
ASV_1284	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens
ASV_1285	d__Bacteria
ASV_1286	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1287	d__Bacteria
ASV_1288	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1289	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885
ASV_129	d__Bacteria
ASV_1290	d__Bacteria
ASV_1291	d__Bacteria
ASV_1292	d__Bacteria
ASV_1293	d__Bacteria
ASV_1294	d__Bacteria
ASV_1295	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus
ASV_1296	d__Bacteria
ASV_1297	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1298	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1299	d__Bacteria
ASV_13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_130	d__Bacteria
ASV_1300	d__Bacteria
ASV_1301	d__Bacteria
ASV_1302	d__Bacteria
ASV_1303	d__Bacteria
ASV_1304	d__Bacteria
ASV_1305	d__Bacteria
ASV_1306	d__Bacteria
ASV_1307	d__Bacteria
ASV_1308	d__Bacteria
ASV_1309	d__Bacteria
ASV_131	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1310	d__Bacteria
ASV_1311	d__Bacteria
ASV_1312	d__Bacteria
ASV_1313	d__Bacteria
ASV_1314	d__Bacteria
ASV_1315	d__Bacteria
ASV_1316	d__Bacteria
ASV_1317	d__Bacteria
ASV_1318	d__Bacteria
ASV_1319	d__Bacteria
ASV_132	d__Bacteria
ASV_1320	d__Bacteria
ASV_1321	d__Bacteria
ASV_1322	d__Bacteria
ASV_1323	d__Bacteria
ASV_1324	d__Bacteria
ASV_1325	d__Bacteria
ASV_1326	d__Bacteria
ASV_1327	d__Bacteria
ASV_1328	d__Bacteria
ASV_1329	d__Bacteria
ASV_133	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1330	d__Bacteria
ASV_1331	d__Bacteria
ASV_1332	d__Bacteria
ASV_1333	d__Bacteria
ASV_1334	d__Bacteria
ASV_1335	d__Bacteria
ASV_1336	d__Bacteria
ASV_1337	d__Bacteria
ASV_1338	d__Bacteria
ASV_1339	d__Bacteria
ASV_134	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1340	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae
ASV_1341	d__Bacteria
ASV_1342	d__Bacteria
ASV_1343	d__Bacteria
ASV_1344	d__Bacteria
ASV_1345	d__Bacteria
ASV_1346	d__Bacteria
ASV_1347	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885
ASV_1348	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1349	d__Bacteria
ASV_135	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1350	d__Bacteria
ASV_1351	d__Bacteria
ASV_1352	d__Bacteria
ASV_1353	d__Bacteria
ASV_1354	d__Bacteria
ASV_1355	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
ASV_1356	d__Bacteria
ASV_1357	d__Bacteria
ASV_1358	d__Bacteria
ASV_1359	d__Bacteria
ASV_136	d__Bacteria
ASV_1360	d__Bacteria
ASV_1361	d__Bacteria
ASV_1362	d__Bacteria
ASV_1363	d__Bacteria
ASV_1364	d__Bacteria
ASV_1365	d__Bacteria
ASV_1366	d__Bacteria
ASV_1367	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas
ASV_1368	d__Bacteria
ASV_1369	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_137	d__Bacteria
ASV_1370	d__Bacteria
ASV_1371	d__Bacteria
ASV_1372	d__Bacteria
ASV_1373	d__Bacteria
ASV_1374	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1375	d__Bacteria
ASV_1376	d__Bacteria
ASV_1377	d__Bacteria
ASV_1378	d__Bacteria
ASV_1379	d__Bacteria
ASV_138	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1380	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1381	d__Bacteria
ASV_1382	d__Bacteria
ASV_1383	d__Bacteria
ASV_1384	d__Bacteria
ASV_1385	d__Bacteria
ASV_1386	d__Bacteria
ASV_1387	d__Bacteria
ASV_1388	d__Bacteria
ASV_1389	d__Bacteria
