#OTU ID	SRR19509437	SRR19509413	SRR19509414	SRR19509409	SRR19509419	SRR19509420	SRR19509430	SRR19509434	SRR19509427	SRR19509407	SRR19509435	SRR19509417	SRR19509422	SRR19509428	SRR19509433	SRR19509411	SRR19509408	SRR19509410	SRR19509415	SRR19509429	SRR19509403	SRR19509423	SRR19509416	SRR19509421	SRR19509412	SRR19509424	SRR19509425	SRR19509404	SRR19509405	SRR19509432	SRR19509436	SRR19509406
Zotu407	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	9	0	2	0	7	0	0	0	0	0
Zotu3	4	5618	260	893	16561	1584	417	3748	2462	363	4127	0	8088	1	1558	473	0	686	777	1670	3195	6165	0	15334	1059	2062	5191	5226	140	1025	10923	36
Zotu477	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	7	0	2	0	10	2	0	0	0	0
Zotu285	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	2	0	0	0	8	0	7	5	0	0	0	0
Zotu147	1	0	0	1	0	4	0	4	8	0	1	3	1	0	1	10	0	0	0	0	3	1	10	0	7	27	12	9	0	0	2	1
Zotu234	2	1	0	1	0	5	1	4	15	0	1	3	4	1	0	1	0	0	0	0	3	0	8	1	3	0	3	7	0	2	1	0
Zotu164	5	1	1	0	0	1	0	0	1	0	3	0	2	4	9	1	0	0	0	4	0	0	22	0	0	0	39	10	0	2	0	0
Zotu431	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	5	0	14	0	6	0	7	2	0	0	0	0
Zotu785	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0
Zotu283	4	4	0	0	0	0	0	0	0	1	0	0	0	3	0	17	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0
Zotu82	9	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	81	0	15	0	47	0	23	100	0	0	11	0
Zotu795	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu781	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
Zotu616	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
Zotu412	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	3	0	6	4	0	0	0	0
Zotu404	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	9	0	3	0	2	0	0	0	0	0
Zotu436	1	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	0	0	0	2	0	2	0	7	0	1	0	0	0	0	0
Zotu180	3	0	3	17	1	3	0	6	3	0	0	2	1	0	12	5	0	0	0	10	1	0	2	0	2	10	8	3	0	1	2	0
Zotu304	3	0	0	1	1	1	2	1	8	0	1	0	1	1	3	4	0	0	2	5	1	0	2	0	5	5	11	3	0	0	0	0
Zotu813	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0
Zotu433	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	5	0	6	0	4	0	0	0	0	0
Zotu710	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	3	0	2	0	1	0	2	1	0	0	0	0
Zotu390	3	1	0	0	0	4	1	0	0	0	0	0	1	1	0	6	0	0	0	0	1	0	2	0	7	0	0	0	0	1	0	0
Zotu445	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0
Zotu132	7	0	0	0	0	0	0	2	0	0	0	4	0	7	0	28	0	0	0	2	15	0	19	0	23	0	13	10	0	0	0	0
Zotu533	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Zotu160	4	2	1	11	0	4	4	6	16	1	0	2	6	0	11	6	0	0	0	14	3	4	5	0	1	10	6	5	0	4	1	0
Zotu83	11	0	0	0	0	1	0	2	1	0	6	17	0	13	0	59	0	0	1	0	10	0	57	0	25	0	43	33	0	0	0	0
Zotu154	1	10	3	21	0	2	3	5	21	3	6	2	1	1	0	22	0	2	0	0	9	3	11	1	8	0	0	8	2	4	0	3
Zotu520	1	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu250	6	0	0	4	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	4	0	7	0	3	0	16	0	0	0	0	0
Zotu492	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	4	0	9	3	0	0	0	0
Zotu328	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	16	0	13	0	1	0	0	0	0	0
Zotu291	3	1	0	2	0	0	1	1	2	1	0	2	1	1	0	9	0	0	0	3	2	0	7	0	4	0	1	1	0	0	0	0
Zotu387	3	0	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	7	0	1	0	0	0
Zotu440	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	7	0	3	0	0	2	0	0
Zotu464	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
Zotu818	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu634	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	1	2	0	0	0	0
Zotu221	2	0	0	0	0	0	0	0	0	0	0	16	0	25	0	0	0	0	8	0	0	0	20	0	0	0	0	0	0	0	0	0
Zotu553	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
Zotu439	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	10	0	3	0	0	0	0	0
Zotu386	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Zotu140	5	0	0	0	1	0	0	0	2	0	0	4	0	0	6	26	0	0	0	9	2	0	11	0	26	0	20	6	0	0	0	0
Zotu401	1	0	3	2	0	0	0	1	5	0	2	0	3	0	1	1	2	0	2	3	0	0	0	0	2	5	4	7	0	1	0	0
Zotu812	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0
Zotu448	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	1	0	5	0	1	3	0	0	0	0
Zotu356	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	10	0	0	1	0	0
Zotu323	1	0	0	1	0	0	4	1	15	0	0	0	0	1	5	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
Zotu743	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu559	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0
Zotu656	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0
Zotu308	1	0	0	18	0	2	1	0	1	0	2	1	1	0	3	2	0	0	0	6	0	0	0	0	2	1	10	0	0	0	0	0
Zotu594	5	0	0	0	0	1	0	2	2	0	0	2	3	0	0	1	2	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0
Zotu310	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	0	0	0	0	2	0	7	0	30	0	12	1	0	0	0	0
Zotu215	2	4	1	6	0	10	0	0	21	0	2	0	1	1	0	3	0	1	0	1	1	1	0	1	1	0	4	0	0	0	0	0
Zotu163	2	0	0	0	0	0	0	0	0	0	0	9	0	4	0	10	0	0	0	0	3	0	12	0	22	0	22	4	0	0	0	0
Zotu364	1	0	0	0	3	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	1	1	0	2	4	9	0	0	0	1	0
Zotu498	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu130	3	0	0	0	0	2	0	0	0	0	0	12	0	2	0	27	0	0	0	3	8	0	27	0	6	0	24	18	0	0	0	0
Zotu199	1	4	3	18	0	3	0	1	3	3	0	2	5	0	5	1	0	1	0	0	0	0	4	0	1	1	2	0	0	5	0	0
Zotu277	1	0	1	0	0	0	0	6	0	0	0	3	0	0	12	3	0	0	0	2	0	2	5	0	0	1	9	0	0	0	0	0
Zotu595	1	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	11	0	7	0	3	0	0	0	0	0
Zotu673	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	3	0	0	2	0	3	1	5	1	0	0	0	0
Zotu354	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	3	0	4	0	0	0	7	4	0	0	0	0
