#OTU ID	SRR15655215	SRR15655218	SRR15655228	SRR15655231	SRR15655234	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655254	SRR15655258	SRR15655264	SRR15655267	SRR15655268	SRR15655274	SRR15655287	SRR15655291	SRR15655294	SRR15655300
OTU_19	9	6	0	77	0	0	0	0	0	828	6	0	21	11	7	0	172	0	6
OTU_190	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
OTU_192	0	4	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_193	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU_195	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU_196	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU_197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_2	30	0	0	1600	1937	0	89	69	67	19	31	0	35	45037	70	49	45	0	28
OTU_20	429	0	0	0	0	0	0	0	0	0	768	0	436	0	0	0	0	0	0
OTU_200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_201	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0
OTU_202	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	11	0	0
OTU_203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
OTU_204	10	0	0	2	0	0	0	0	0	5	0	6	2	0	0	0	0	0	0
OTU_205	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
OTU_206	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_207	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_208	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_209	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU_21	0	0	0	0	0	0	0	0	0	127	0	0	0	13	7	0	630	0	11
OTU_210	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_211	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_212	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_213	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_214	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_215	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
OTU_216	0	8	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_217	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
OTU_218	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_219	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	10	0	0
OTU_22	232	0	0	11	4	0	5	4	0	11	542	0	244	0	6	0	21	0	0
OTU_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU_221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU_222	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	10
OTU_223	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
OTU_224	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_225	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0
OTU_226	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU_227	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
OTU_228	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU_229	0	0	0	8	0	0	0	0	0	0	0	2	4	9	0	7	0	0	0
OTU_23	305	0	0	11	0	0	33	3	0	10	506	0	102	0	0	2	22	0	0
OTU_230	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
OTU_231	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
OTU_232	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0
OTU_233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU_234	0	0	0	0	0	0	0	0	0	6	3	6	0	0	0	0	9	0	0
OTU_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
OTU_236	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_237	0	0	8	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0
OTU_238	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_239	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	81	6	13	91	0	0	0	0	0	527	112	0	165	0	5	0	163	0	54
OTU_240	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU_241	3	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
