"testing_cohort","training_cohort","pipeline","level","AUC"
"Tsementzi","Gressel (N=19)","Tsementzi","genus",0.33525975937766
"Walsh","Gressel (N=19)","Tsementzi","genus",0.640115859592604
"Angel","Tsementzi (N=29)","Angel","phylum",0.65625
"Antonio","Tsementzi (N=29)","Angel","phylum",0
"Gressel","Tsementzi (N=29)","Angel","phylum",0
"Walsh","Tsementzi (N=29)","Angel","phylum",0.235353490007707
"Angel","Tsementzi (N=29)","Angel","class",0.69701867816092
"Antonio","Tsementzi (N=29)","Angel","class",0
"Gressel","Tsementzi (N=29)","Angel","class",0
"Walsh","Tsementzi (N=29)","Angel","class",0
"Angel","Tsementzi (N=29)","Angel","order",0.160590277777778
"Antonio","Tsementzi (N=29)","Angel","order",0.78974358974359
"Gressel","Tsementzi (N=29)","Angel","order",0.446995073891626
"Walsh","Tsementzi (N=29)","Angel","order",0
"Angel","Tsementzi (N=29)","Angel","family",0
"Antonio","Tsementzi (N=29)","Angel","family",0
"Gressel","Tsementzi (N=29)","Angel","family",0
"Walsh","Tsementzi (N=29)","Angel","family",0
"Angel","Tsementzi (N=29)","Angel","genus",0
"Antonio","Tsementzi (N=29)","Angel","genus",0
"Gressel","Tsementzi (N=29)","Angel","genus",0.531347962382445
"Walsh","Tsementzi (N=29)","Angel","genus",0.310602307711448
"Angel","Tsementzi (N=29)","Antonio","phylum",0.759281120598064
"Antonio","Tsementzi (N=29)","Antonio","phylum",0.671324651655534
"Gressel","Tsementzi (N=29)","Antonio","phylum",0.8524107004107
"Walsh","Tsementzi (N=29)","Antonio","phylum",0.413819564468232
"Angel","Tsementzi (N=29)","Antonio","class",0.890607880522368
"Antonio","Tsementzi (N=29)","Antonio","class",0.73195487791076
"Gressel","Tsementzi (N=29)","Antonio","class",0.880336617405583
"Walsh","Tsementzi (N=29)","Antonio","class",0.40177361018164
"Angel","Tsementzi (N=29)","Antonio","order",0.777170990816737
"Antonio","Tsementzi (N=29)","Antonio","order",0.721200878369996
"Gressel","Tsementzi (N=29)","Antonio","order",0.826244164981323
"Walsh","Tsementzi (N=29)","Antonio","order",0.424893597221414
"Angel","Tsementzi (N=29)","Antonio","family",0.780347842738271
"Antonio","Tsementzi (N=29)","Antonio","family",0.722865516155957
"Gressel","Tsementzi (N=29)","Antonio","family",0.82608267294924
"Walsh","Tsementzi (N=29)","Antonio","family",0.535455828065339
"Angel","Tsementzi (N=29)","Antonio","genus",0.758801018439912
"Antonio","Tsementzi (N=29)","Antonio","genus",0.778466121297004
"Gressel","Tsementzi (N=29)","Antonio","genus",0.857368593272853
"Walsh","Tsementzi (N=29)","Antonio","genus",0.416744404290675
"Angel","Tsementzi (N=29)","Gressel","phylum",0.666896646373798
"Antonio","Tsementzi (N=29)","Gressel","phylum",0.599954809221897
"Gressel","Tsementzi (N=29)","Gressel","phylum",0.802586525585026
"Walsh","Tsementzi (N=29)","Gressel","phylum",0.449946371951671
"Angel","Tsementzi (N=29)","Gressel","class",0.667426479343155
"Antonio","Tsementzi (N=29)","Gressel","class",0.502267277719766
"Gressel","Tsementzi (N=29)","Gressel","class",0.82862098339285
"Walsh","Tsementzi (N=29)","Gressel","class",0.482718934795851
