Feature ID	p;c;o;f;g;s
ASV_1034	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum
ASV_10340	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10341	d__Bacteria
ASV_10342	d__Bacteria
ASV_10343	d__Bacteria
ASV_10344	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10345	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10346	d__Bacteria
ASV_10347	d__Bacteria
ASV_10348	d__Bacteria
ASV_10349	d__Bacteria
ASV_1035	d__Bacteria
ASV_10350	d__Bacteria
ASV_10351	d__Bacteria
ASV_10352	d__Bacteria
ASV_10353	d__Bacteria
ASV_10354	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10355	d__Bacteria
ASV_10356	d__Bacteria
ASV_10357	d__Bacteria
ASV_10358	d__Bacteria
ASV_10359	d__Bacteria
ASV_1036	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus simulans
ASV_10360	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10361	d__Bacteria
ASV_10362	d__Bacteria
ASV_10363	d__Bacteria
ASV_10364	d__Bacteria
ASV_10365	d__Bacteria
ASV_10366	d__Bacteria
ASV_10367	d__Bacteria
ASV_10368	d__Bacteria
ASV_10369	d__Bacteria
ASV_1037	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10370	d__Bacteria
ASV_10371	d__Bacteria
ASV_10372	d__Bacteria
ASV_10373	d__Bacteria
ASV_10374	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10375	d__Bacteria
ASV_10376	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10377	d__Bacteria
ASV_10378	d__Bacteria
ASV_10379	d__Bacteria
ASV_1038	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10380	d__Bacteria
ASV_10381	d__Bacteria
ASV_10382	d__Bacteria
ASV_10383	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae
ASV_10384	d__Bacteria
ASV_10385	d__Bacteria
ASV_10386	d__Bacteria
ASV_10387	d__Bacteria
ASV_10388	d__Bacteria
ASV_10389	d__Bacteria
ASV_1039	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium eulemuris
ASV_10390	d__Bacteria
ASV_10391	d__Bacteria
ASV_10392	d__Bacteria
ASV_10393	d__Bacteria
ASV_10394	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10395	d__Bacteria
ASV_10396	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10397	d__Bacteria
ASV_10398	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea;s__Defluviitalea phaphyphila
ASV_10399	d__Bacteria
ASV_104	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus
ASV_1040	d__Bacteria
ASV_10400	d__Bacteria
ASV_10401	d__Bacteria
ASV_10402	d__Bacteria
ASV_10403	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10404	d__Bacteria
ASV_10405	d__Bacteria
ASV_10406	d__Bacteria
ASV_10407	d__Bacteria
ASV_10408	d__Bacteria
ASV_10409	d__Bacteria
ASV_1041	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
ASV_10410	d__Bacteria
ASV_10411	d__Bacteria
ASV_10412	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10413	d__Bacteria
ASV_10414	d__Bacteria
ASV_10415	d__Bacteria
ASV_10416	d__Bacteria
ASV_10417	d__Bacteria
ASV_10418	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10419	d__Bacteria
ASV_1042	d__Bacteria
ASV_10420	d__Bacteria
ASV_10421	d__Bacteria
ASV_10422	d__Bacteria
ASV_10423	d__Bacteria
ASV_10424	d__Bacteria
ASV_10425	d__Bacteria
ASV_10426	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10427	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea;s__Defluviitalea phaphyphila
ASV_10428	d__Bacteria
ASV_10429	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1043	d__Bacteria
ASV_10430	d__Bacteria
ASV_10431	d__Bacteria
ASV_10432	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10433	d__Bacteria
ASV_10434	d__Bacteria
ASV_10435	d__Bacteria
ASV_10436	d__Bacteria
ASV_10437	d__Bacteria
ASV_10438	d__Bacteria
ASV_10439	d__Bacteria
ASV_1044	d__Bacteria
