#OTU ID	SRR6920027	SRR6920028	SRR6920030	SRR6920033	SRR6920034	SRR6920036	SRR6920038	SRR6920041	SRR6920042	SRR6920046	SRR6920050	SRR6920052	SRR6920056	SRR6920058	SRR6920059	SRR6920074	SRR6920078	SRR6920086	SRR6920089	SRR6920091	SRR6920093	SRR6920029	SRR6920031	SRR6920032	SRR6920035	SRR6920045	SRR6920047	SRR6920048	SRR6920049	SRR6920051	SRR6920053	SRR6920057	SRR6920064	SRR6920070	SRR6920071	SRR6920072	SRR6920075	SRR6920077	SRR6920085	SRR6920087	SRR6920088	SRR6920090	SRR6920092	SRR6920094
Zotu81	17	0	0	0	0	6	0	0	0	0	0	0	0	1	1	68	0	1	0	0	233	0	0	0	11	0	0	0	0	0	0	0	0	3316	0	4	0	1	0	0	0	0	0	40
Zotu72	40	0	0	0	0	3	0	38	55	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	29	2873	0	336	0	0	0	0	0	0	0	0	0
Zotu3201	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	26	0	0	0	0	0	2	2	0	0	0	0	0
Zotu1374	57	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	52	0	0	4	0	0	0	0	0	0	0	0	0
Zotu997	45	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	1	0	0	0	5	0	12	3	16	0	0	0	0	0	0	109	0	1	1	0	0	10	2	11	4	0	0	0
Zotu4548	39	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2775	47	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Zotu2805	39	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Zotu35	15	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	242	0	0	0	5	0	0	0	0	0	0	0	0	4994	0	0	1	0	0	0	0	0	0	0
Zotu907	16	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	152
Zotu3586	34	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu838	37	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	30	2	20	0	0	0	0	0	0	103	2	0	4	0	0	19	6	7	2	0	0	0
Zotu509	34	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	149	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	259
Zotu299	13	0	0	0	0	0	0	12	22	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	5	721	0	99	0	0	0	0	0	0	0	0	0
Zotu4823	26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3423	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0
Zotu1335	14	0	0	0	0	0	0	22	2	0	0	0	0	2	0	0	13	2	0	0	33	0	0	0	6	0	1	0	10	0	0	2	0	4	1	0	2	0	0	0	0	0	0	53
Zotu1269	46	0	0	0	0	2	0	76	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0
Zotu343	8	0	0	0	0	1	0	0	0	0	0	0	0	1	0	22	0	0	0	0	45	0	0	0	2	0	0	0	0	0	0	0	0	763	0	1	0	0	0	0	0	0	0	9
Zotu4447	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
